FRAME_STOCK,SPEED (IPS),TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Lead frame,Unit/strip,Strip/lot,Process,Data_Before_Filter,Data_After_Filter
FR0068,5.0,153.21,NQ-700E700X032A,7X7,SFS,,240.0,40.0,,0,0
FR0068,5.0,153.21,NQ-700E700X032K,7X7,SFS,,240.0,40.0,,0,0
FR0068,5.0,148.69,NQC700E7001032A,7X7,SLP,Cu,240.0,40.0,Full Cut,9,8
FR0068,5.0,148.69,NQC700E7001032K,7X7,SLP,Cu,240.0,40.0,Full Cut,9,8
FR0068,5.0,148.25,TQ-700E700C032A,7X7,QFN,CU,240.0,40.0,,6,5
FR0068,5.0,148.25,TQ-700E700C032E,7X7,QFN,CU,240.0,40.0,,6,5
FR0124,5.0,196.59,NQ-600E6001040A,6X6,SLP,Cu,315.0,40.0,Full Cut,3,3
FR0124,5.0,165.72,NQ-600E600B040A,6X6,QFN,CU,315.0,40.0,,6,6
FR0124,5.0,165.72,NQ-600M600B040A,6X6,QFN,CU,315.0,40.0,,6,6
FR0124,5.0,165.72,NQC600E600B040A,6X6,QFN,CU,315.0,40.0,,6,6
FR0124,5.0,165.72,TQ-600E600B040A,6X6,QFN,CU,315.0,40.0,,6,6
FR0124,5.0,165.72,TQC600E600B040A,6X6,QFN,CU,315.0,40.0,,6,6
FR0147,5.0,148.25,NQ-700E700B048A,7X7,QFN,CU,240.0,40.0,,6,5
FR0147,5.0,148.25,NQ-700M700B048A,7X7,QFN,CU,240.0,40.0,,6,5
FR0147,5.0,148.25,NQC700E700B048K,7X7,QFN,CU,240.0,40.0,,6,5
FR0147,5.0,148.25,TQ-700E700B048A,7X7,QFN,CU,240.0,40.0,,6,5
FR0147,5.0,148.25,TQC700E700B048A,7X7,QFN,CU,240.0,40.0,,6,5
FR0153,5.0,148.25,NQ-700E700B048A,7X7,QFN,CU,240.0,40.0,,6,5
FR0153,5.0,148.25,NQ-700S700B048A,7X7,QFN,CU,240.0,40.0,,6,5
FR0153,5.0,148.25,NQC700E700B048A,7X7,QFN,CU,240.0,40.0,,6,5
FR0153,5.0,148.25,NQC700E700B048K,7X7,QFN,CU,240.0,40.0,,6,5
FR0158,5.0,134.18,NQ-900E900B064A,9X9,QFN,CU,120.0,40.0,,4,4
FR0158,5.0,134.18,NQ-900E900B064E,9X9,QFN,CU,120.0,40.0,,4,4
FR0158,5.0,128.0,NQC900E9001064A,9X9,SLP,Cu,120.0,40.0,Full Cut,2,2
FR0158,5.0,134.18,NQC900E900B064A,9X9,QFN,CU,120.0,40.0,,4,4
FR0158,5.0,134.18,TQ-900E900B064A,9X9,QFN,CU,120.0,40.0,,4,4
FR0158,5.0,134.18,TQ-900E900B064K,9X9,QFN,CU,120.0,40.0,,4,4
FR0158,5.0,134.18,TQ-900M900B064A,9X9,QFN,CU,120.0,40.0,,4,4
FR0158,5.0,134.18,TQC900M900B064K,9X9,QFN,CU,120.0,40.0,,4,4
FR0159,5.0,134.18,NQ-900E900B064A,9X9,QFN,CU,120.0,40.0,,4,4
