FRAME_STOCK,SPEED,TIME/STRIP,PACKAGE_CODE
FR0068,5.0,221.17,NQC700E7001032K
FR0068,5.0,221.17,TQ-700E700C032A
FR0068,5.0,221.17,TQ-700E700C032E
FR0090,5.0,283.24,NQ-400E400B020A
FR0090,5.0,283.24,NQ-400E400B020K
FR0090,5.0,283.24,NQC400E400B020K
FR0090,5.0,283.24,TQ-400E400B020A
FR0099,3.0,226.14,TQTA00DA00B068P
FR0099,3.0,226.14,TQTA00EA00B068A
FR0099,3.0,226.14,TQTA00EA00B068B
FR0099,3.0,226.14,TQTA00EA00B068P
FR0110,5.0,155.64,NQ-800E800B052A
FR0110,5.0,155.64,NQ-800E800B052K
FR0110,5.0,155.64,NQC800E800B052A
FR0123,5.0,185.28,ND-700E400A032A
FR0123,5.0,185.28,TD-700E400A032A
FR0123,5.0,185.28,TD-700M400A032A
FR0123,5.0,185.28,TD-700M400A032K
FR0124,5.0,177.62,NQ-600E6001040A
FR0124,5.0,177.62,NQ-600E600B040A
FR0124,5.0,177.62,NQ-600M600B040A
FR0124,5.0,177.62,NQC600E600B040A
FR0124,5.0,177.62,TQ-600E600B040A
FR0124,5.0,177.62,TQC600E600B040A
FR0139,5.0,178.29,MQ-500S500C020A
FR0139,5.0,178.29,MQ-500S500C020K
FR0139,5.0,178.29,NQ-500E500C020A
FR0139,5.0,178.29,TQ-500E500C020A
FR0139,5.0,178.29,TQ-500E500C020E
FR0147,5.0,143.89,NQ-700E700B048A
FR0147,5.0,143.89,NQ-700M700B048A
FR0147,5.0,143.89,NQC700E700B048K
FR0147,5.0,143.89,TQ-700E700B048A
FR0147,5.0,143.89,TQC700E700B048A
FR0153,5.0,159.17,NQ-700E700B048A
FR0153,5.0,159.17,NQ-700S700B048A
FR0153,5.0,159.17,NQC700E700B048A
FR0153,5.0,159.17,NQC700E700B048K
FR0156,4.0,212.56,ND-300E300B010F
FR0156,4.0,212.56,ND-300E300B010M
FR0158,5.0,140.3,NQ-900E900B064A
FR0158,5.0,140.3,NQ-900E900B064E
FR0158,5.0,140.3,NQC900E9001064A
FR0158,5.0,140.3,NQC900E900B064A
FR0158,5.0,140.3,TQ-900E900B064A
FR0158,5.0,140.3,TQ-900E900B064K
FR0158,5.0,140.3,TQ-900M900B064A
FR0158,5.0,140.3,TQC900M900B064K
FR0160,5.0,158.95,NQ-900E900B064A
FR0160,5.0,158.95,NQC900E900B064A
FR0160,5.0,158.95,NQC900E900B064K
FR0179,5.0,281.65,NQ-300E300B016A
FR0179,5.0,281.65,NQC300E300B016A
FR0179,5.0,281.65,NQC300E300B016K
FR0179,5.0,281.65,TQ-300E300B016A
FR0194,5.0,197.53,NQ-400E400B020A
FR0194,5.0,197.53,NQC400E400B020A
FR0194,5.0,197.53,TQ-400E400B020A
FR0211,3.0,168.21,MQ-800M800B056P
FR0211,3.0,168.21,NQ-800E800B056P
FR0211,3.0,168.21,NQ-800M800B056D
FR0211,3.0,168.21,NQ-800M800B056P
FR0211,3.0,168.21,NQC800E800B056P
FR0211,3.0,168.21,TQ-800E800B056P
FR0211,3.0,168.21,TQ-800M800B056P
FR0221,5.0,193.12,ND-500E600G008A
FR0221,5.0,193.12,ND-500E600G008K
FR0221,5.0,193.12,TD-500E600G008A
FR0221,5.0,193.12,TD-500S600G008A
FR0221,5.0,193.12,TD-500S600G008K
FR0221,5.0,193.12,TDC500E600G008A
