FRAME_STOCK,SPEED (IPS),TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Frame type ,Unit/strip,Process,Before_Outlier,After_Outlier
FRA118,5.0,179.76,TQC700E7001048K,7X7,SLP,Copper ,240.0,Full Cut,3.0,3.0
FRA123,3.0,206.57,TD-300E2001010K,2X3,SLP,,1710.0,Step Cut,,
FRA124,5.0,280.44,4Q-400E500W030U,4X5,QFN,Copper ,560.0,,3.0,3.0
FRA125,5.0,267.27,TQ-350E5001019W,3.5X5,SLP,,605.0,Full Cut,,
FRA126,5.0,227.45,TQ-575E4501023N,5.75X4.5,SLP,,420.0,Full Cut,,
FRA127,5.0,230.31,TQ-400E400Z018W,4X4,QFN,Copper ,700.0,,13.0,13.0
FRA131,5.0,154.86,TQCA00MA001088U,10X10,SLP,,120.0,Full Cut,,
FRA133,5.0,236.33,TQ-300E600B027N,3X6,QFN,Copper ,585.0,,1.0,1.0
FRA135,3.0,408.0,NQ-300E300X016U,3X3,SFS,,1170.0,,,
FRA136,5.0,177.93,TQ-700E700A056E,7X7,QFN,Copper ,240.0,,6.0,6.0
FRA142,3.0,248.79,MQC400S4001024K,4X4,SLP,Full PPF,700.0,Step Cut,7.0,7.0
FRA143,5.0,163.89,NQC800E8001068K,8X8,SLP,Copper ,175.0,Full Cut,3.0,3.0
FRA146,5.0,355.65,TQ-300E300B016N,3X3,QFN,Copper ,1170.0,,6.0,6.0
FRA147,5.0,179.76,TQC700E7001048K,7X7,SLP,Copper ,240.0,Full Cut,3.0,3.0
FRA148,5.0,158.63,ND-500E6001008K,6X5,SLP,,385.0,Full Cut,,
FRA150,3.0,257.83,MQD350E4501016N,4.5X3.5,SLP,,660.0,Step Cut,,
FRA151,5.0,454.14,NQ-200E3001012N,3X2,SLP,,1710.0,Full Cut,,
FRA154,5.0,230.31,NQC400S400B024K,4X4,QFN,Copper ,700.0,,13.0,13.0
FRA159,3.0,246.38,NQ-400E3501014N,3.5X4,SLP,,770.0,Step Cut,,
FRA162,2.0,374.16999999999996,NQ-200E2001009C,2X2,SLP,,2470.0,Step Cut,,
FRA163,3.0,205.86,NQ-550E5001032N,5X5.5,SLP,,385.0,Step Cut,,
FRA164,3.0,327.84,NQ-300E2001009N,3X2,SLP,,1690.0,Step Cut,,
FRA167,5.0,257.88,NQ-500E5001032K,5X5,SLP,,440.0,Full Cut,,
FRA172,3.0,261.305,TQ-400E4001028K,4X4,SLP,,700.0,Step Cut,,
FRA182,5.0,263.41,TQ-350E6001021W,3.5X6,SLP,,495.0,Full Cut,,
FRA184,5.0,230.31,TQ-400E400A028N,4X4,QFN,Copper ,700.0,,13.0,13.0
FRA186,5.0,213.61,TQ-500E5001029N,5X5,SLP,,440.0,Full Cut,,
FRA198,5.0,236.19,NQC500E5001032E,5X5,SLP,,440.0,Full Cut,,
FRA200,5.0,214.86,NDC700M3501018K,3.5X7,SLP,,440.0,Full Cut,,
FRA201,3.0,279.2,NDC450E3001016K,3X4.5,SLP,,780.0,Step Cut,,
FRA202,5.0,195.95,NQC500E500B032K,5X5,QFN,Copper ,440.0,,14.0,14.0
